패턴 고유 ID (PK),기획 소통용 탑_타입_번호,패턴 리소스 ID (FK),패턴 타입 0=패턴 없음 1=이동 2=투사체 3=영역 4=소환수 5=트리거 6=자폭 7=레이저 8=바리케이드,세부 패턴 구분,스탯 변경 대상 0=hp 1=power 2=move_speed 3=mass 4=hitbox 5=nb 6=base_exp,스탯 배율,지속 시간 (초 단위),예고 시간 (초 단위),데미지 배율,패턴 발동 감지 범위 (월드 유닛 단위),이동 유지 시간 (초 단위),지그재그 폭 (월드 유닛 단위),점프 높이 (월드 유닛 단위),투사체 타입 0=직선 1=포물선 2=공전 3=레이저,투사체 속도,투사체 크기 (월드 유닛 단위),발사 개수,공전 반경 (월드 유닛 단위),연속 발사 간격 (초 단위),투사체 유지 시간 (초 단위),투사체 관통 타입 0=소멸 1=관통 2=반사,유도 여부 false = 유도 안 함 true = 유도함,포물선 최고점 높이 (월드 유닛 단위),범위 반경 (월드 유닛 단위),범위 피해 간격 (초 단위),타겟 기준 0=플레이어 기준 1=보스 기준,폭발 반경 (월드 유닛 단위),소환 몬스터 ID,소환수 마리수,소환 범위 (월드 유닛 단위),소환 위치 기준 0=플레이어 기준 1=보스 기준,디버프 타입 0=지속피해 1=스턴 2=이동 속도 감소,디버프 지속 시간 (초 단위),디버프 수치,지속 피해 간격 (초 단위),바리케이드 타겟 0=플레이어만 1=보스만 2=플레이어 보스 함께 3= 아무도 없는 위치,바리케이드 모양 0=직사각형 1=원형,바리케이드 가로 길이 (월드 유닛 단위),바리케이드 직사각형 세로 길이 (월드 유닛 단위),접촉 데미지,이동 차단 여부 false = 이동 가능 true = 이동 차단,미청소 더러움 개당 회복 HP,광폭화 간격 (초 단위),광폭화 공격력 증가율,광폭화 체력 증가율,최대 광폭화 단계,소환 더러움 아이템 ID (FK)
222072,5_B_08,241013,2,projectile_turn,,,15,,2,,,,,2,9,0.5,7,6,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
227010,5_B_08,241007,7,laser_stun,,,4,5,2,,,,,,,2,4,,,,,False,,,,,,,,,,1,3,,,,,,,,False,,,,,,
223026,5_B_08,241001,3,area_danger,,,10,5,2,,,,,,,2,6,,,,,False,,4,0.2,0,,,,,,,,,,,,,,,False,,,,,,
222073,5_B_09,241010,2,projectile_pierce,,,,,2,30,,,,0,9,0.5,10,,0.5,7,1,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222074,5_B_09,241013,2,projectile_turn,,,20,,2,,,,,2,9,0.5,8,7,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
227011,5_B_09,241007,7,laser_stun,,,6,5,2,,,,,,,2,6,,,,,False,,,,,,,,,,1,3,,,,,,,,False,,,,,,
223027,5_B_09,241001,3,area_danger,,,10,5,2,,,,,,,2,7,,,,,False,,4,0.2,0,,,,,,,,,,,,,,,False,,,,,,
222075,5_B_10,241010,2,projectile_pierce,,,,,2,30,,,,0,9,0.5,10,,0.5,7,1,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222076,5_B_10,241013,2,projectile_turn,,,20,,2,,,,,2,9,0.5,8,7,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
227012,5_B_10,241007,7,laser_stun,,,8,5,2,,,,,,,2,6,,,,,False,,,,,,,,,,1,5,,,,,,,,False,,,,,,
223028,5_B_10,241001,3,area_danger,,,10,5,2,,,,,,,2,7,,,,,False,,4,0.2,0,,,,,,,,,,,,,,,False,,,,,,
221037,6_S_01,,1,move_zigzag,2,3,,,,,,2,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221038,6_S_02,,1,move_zigzag,2,2,,,,,,4,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221039,6_S_03,,1,move_jump,2,8,,2,2,10,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221040,6_S_04,,1,move_jump,2,6,,2,2,8,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221041,6_S_05,,1,move_jump,2,6,,2,2,8,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221042,6_S_06,,1,move_escape,2,2.5,,2,,3,6,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222077,6_S_07,241008,2,projectile_basic,,,,,1.2,30,,,,0,10,0.5,15,,0.2,2,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222078,6_S_08,241008,2,projectile_basic,,,,,1.5,30,,,,0,10,0.5,10,,0.4,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222079,6_S_09,241010,2,projectile_pierce,,,,,2,30,,,,0,11,0.5,9,,0.2,3,1,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222080,6_S_10,241010,2,projectile_pierce,,,,,2,30,,,,0,11,0.5,9,,0.2,3,1,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222081,6_S_11,241011,2,projectile_reflect,,,,,3,30,,,,0,9,0.5,10,,0.2,5,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222082,6_S_12,241009,2,projectile_follow,,,,,2,30,,,,,7,1,1,,3,10,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
222083,6_S_13,241009,2,projectile_follow,,,,,5,30,,,,,9,1,1,,3,6,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
222084,6_S_14,241012,2,projectile_throw,,,,,6,30,,,,1,9,0.8,6,,0.5,6,1,False,3,,,,,,,,,,,,,,,,,,False,,,,,,
226005,6_S_15,241004,6,explode_self,2,1.6,5,,2,,,,,,,,,,,,,False,,,,,4,,,,,,,,,,,,,,False,,,,,,
224001,6_B_01,241011,2,projectile_reflect,,,,,2,30,,,,0,10,0.5,7,,1,7,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224002,6_B_02,241011,2,projectile_reflect,,,,,2,30,,,,0,10,0.5,7,,1,7,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222085,6_B_03,241008,2,projectile_basic,,,,,1.3,30,,,,0,9,0.5,10,,0.2,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224003,6_B_03,241011,2,projectile_reflect,,,,,2,30,,,,0,10,0.5,7,,1,7,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222086,6_B_04,241008,2,projectile_basic,,,,,1.3,30,,,,0,9,0.5,10,,0.2,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224004,6_B_04,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,8,,1,7,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224005,6_B_04,241009,2,projectile_follow,,,,,2,30,,,,,7,1,3,,5,10,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
222087,6_B_05,241008,2,projectile_basic,,,,,1.3,30,,,,0,9,0.5,10,,0.2,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224006,6_B_05,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,8,,1,7,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224007,6_B_05,241009,2,projectile_follow,,,,,2,30,,,,,7,1,3,,5,10,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
223029,6_B_05,241002,3,area_safe,,,8,5,3,,,,,,,3,5,,,,,False,,4,0.2,1,,,,,,,,,,,,,,,False,,,,,,
222088,6_B_06,241008,2,projectile_basic,,,,,1.3,30,,,,0,9,0.5,12,,0.2,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224008,6_B_06,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,8,,1,10,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224009,6_B_06,241009,2,projectile_follow,,,,,2,30,,,,,7,1,3,,5,10,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
223030,6_B_06,241002,3,area_safe,,,8,5,3,,,,,,,3,5,,,,,False,,4,0.2,1,,,,,,,,,,,,,,,False,,,,,,
222089,6_B_07,241008,2,projectile_basic,,,,,1.5,30,,,,0,11,0.5,12,,0.2,5,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224010,6_B_07,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,8,,1,10,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224011,6_B_07,241009,2,projectile_follow,,,,,2,30,,,,,7,1,3,,5,10,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
223031,6_B_07,241002,3,area_safe,,,8,5,3,,,,,,,3,4,,,,,False,,4,0.2,1,,,,,,,,,,,,,,,False,,,,,,
222090,6_B_08,241008,2,projectile_basic,,,,,1.5,30,,,,0,11,0.5,15,,0.2,5,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224012,6_B_08,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,10,,1,10,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224013,6_B_08,241009,2,projectile_follow,,,,,3,30,,,,,7,1,5,,3,12,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
223032,6_B_08,241002,3,area_safe,,,10,5,3,,,,,,,2,4,,,,,False,,5,0.2,1,,,,,,,,,,,,,,,False,,,,,,
225007,6_B_08,,5,trigger_dirty_spawn,,,20,4,,,,,,,,,,,,,,False,,,,,,,15,12,1,,,,,,,,,,False,100,,,,,31002
222091,6_B_09,241008,2,projectile_basic,,,,,1.5,30,,,,0,11,0.5,15,,0.2,5,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224014,6_B_09,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,10,,1,10,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224015,6_B_09,241009,2,projectile_follow,,,,,3,30,,,,,7,1,5,,3,12,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
223033,6_B_09,241002,3,area_safe,,,10,5,3,,,,,,,2,3,,,,,False,,5,0.2,1,,,,,,,,,,,,,,,False,,,,,,
225008,6_B_09,,5,trigger_dirty_spawn,,,20,4,,,,,,,,,,,,,,False,,,,,,,15,12,1,,,,,,,,,,False,100,,,,,31002
222092,6_B_10,241008,2,projectile_basic,,,,,1.5,30,,,,0,11,0.5,15,,0.2,5,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224016,6_B_10,241011,2,projectile_reflect,,,,,3,30,,,,0,10,0.5,10,,1,10,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
224017,6_B_10,241009,2,projectile_follow,,,,,3,30,,,,,7,1,5,,3,12,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
223034,6_B_10,241002,3,area_safe,,,10,5,3,,,,,,,2,3,,,,,False,,5,0.2,1,,,,,,,,,,,,,,,False,,,,,,
225009,6_B_10,,5,trigger_dirty_spawn,,,20,4,,,,,,,,,,,,,,False,,,,,,,15,12,1,,,,,,,,,,False,120,,,,,31002
221043,7_S_01,,1,move_zigzag,2,3,,,,,,2,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221044,7_S_02,,1,move_zigzag,2,2,,,,,,4,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221045,7_S_03,,1,move_jump,2,8,,2,2,10,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221046,7_S_04,,1,move_jump,2,6,,2,2,8,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221047,7_S_05,,1,move_jump,2,6,,2,2,8,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221048,7_S_06,,1,move_escape,2,2.5,,2,,3,6,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222093,7_S_07,241008,2,projectile_basic,,,,,1.2,30,,,,0,10,0.5,20,,0.2,2,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222094,7_S_08,241008,2,projectile_basic,,,,,1.5,30,,,,0,10,0.5,15,,0.4,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222095,7_S_09,241010,2,projectile_pierce,,,,,2,30,,,,0,12,0.5,10,,0.2,3,1,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222096,7_S_10,241010,2,projectile_pierce,,,,,2,30,,,,0,12,0.5,10,,0.2,3,1,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222097,7_S_11,241011,2,projectile_reflect,,,,,3,30,,,,0,9,0.5,10,,0.2,5,2,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222098,7_S_12,241009,2,projectile_follow,,,,,2,30,,,,,7,1,1,,2,12,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
222099,7_S_13,241009,2,projectile_follow,,,,,5,30,,,,,9,1,1,,2,7,1,True,,,,,,,,,,,,,,,,,,,False,,,,,,
222100,7_S_14,241012,2,projectile_throw,,,,,6,30,,,,1,9,0.8,6,,0.5,6,1,False,3,,,,,,,,,,,,,,,,,,False,,,,,,
226006,7_S_15,241004,6,explode_self,2,1.6,5,,2,,,,,,,,,,,,,False,,,,,4,,,,,,,,,,,,,,False,,,,,,
221049,7_B_01,,1,move_jump,2,6,,2,2,12,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221050,7_B_02,,1,move_jump,2,6,,2,2,12,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221051,7_B_03,,1,move_jump,2,6,,2,2,12,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222101,7_B_03,241012,2,projectile_throw,,,,,2,30,,,,1,7,0.8,3,,0.5,8,1,False,4,,,,,,,,,,,,,,,,,,False,,,,,,
221052,7_B_04,,1,move_jump,2,6,,2,2,12,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222102,7_B_04,241012,2,projectile_throw,,,,,2,30,,,,1,7,0.8,3,,0.5,8,1,False,4,,,,,,,,,,,,,,,,,,False,,,,,,
223035,7_B_04,241001,3,area_danger,,,5,5,2,,,,,,,2,5,,,,,False,,5,0.2,0,,,,,,,,,,,,,,,False,,,,,,
221053,7_B_05,,1,move_jump,2,6,,2,2,12,,,3,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222103,7_B_05,241012,2,projectile_throw,,,,,2,30,,,,1,8,0.8,5,,0.5,8,1,False,4,,,,,,,,,,,,,,,,,,False,,,,,,
223036,7_B_05,241001,3,area_danger,,,5,5,2,,,,,,,2,5,,,,,False,,5,0.2,0,,,,,,,,,,,,,,,False,,,,,,
221054,7_B_06,,1,move_jump,2,8,,2,3,16,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222104,7_B_06,241012,2,projectile_throw,,,,,2,30,,,,1,8,0.8,5,,0.5,8,1,False,4,,,,,,,,,,,,,,,,,,False,,,,,,
223037,7_B_06,241001,3,area_danger,,,5,5,2,,,,,,,2,6,,,,,False,,5,0.2,0,,,,,,,,,,,,,,,False,,,,,,
228007,7_B_06,241003,8,barrier,,,30,5,2,2,,,,,,,,,,,,False,,,,,,,,,,,,,,2,0,,,50,True,,,,,,
221055,7_B_07,,1,move_jump,2,8,,2,3,16,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222105,7_B_07,241012,2,projectile_throw,,,,,2,30,,,,1,8,0.8,5,,0.5,8,1,False,5,,,,,,,,,,,,,,,,,,False,,,,,,
223038,7_B_07,241001,3,area_danger,,,5,5,3,,,,,,,2,6,,,,,False,,5,0.2,0,,,,,,,,,,,,,,,False,,,,,,
228008,7_B_07,241003,8,barrier,,,30,5,2,2,,,,,,,,,,,,False,,,,,,,,,,,,,,2,0,,,50,True,,,,,,
221056,7_B_08,,1,move_jump,2,8,,2,3,16,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222106,7_B_08,241012,2,projectile_throw,,,,,2,30,,,,1,9,0.8,7,,0.5,8,1,False,5,,,,,,,,,,,,,,,,,,False,,,,,,
223039,7_B_08,241001,3,area_danger,,,10,5,3,,,,,,,3,7,,,,,False,,4,0.2,0,,,,,,,,,,,,,,,False,,,,,,
228009,7_B_08,241003,8,barrier,,,40,5,2,2,,,,,,,,,,,,False,,,,,,,,,,,,,,2,0,,,50,True,,,,,,
225010,7_B_08,,5,trigger_enrage,,,,3,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,60,1.2,1.2,2,
221057,7_B_09,,1,move_jump,2,8,,2,3,16,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222107,7_B_09,241012,2,projectile_throw,,,,,2,30,,,,1,9,0.8,7,,0.5,8,1,False,5,,,,,,,,,,,,,,,,,,False,,,,,,
223040,7_B_09,241001,3,area_danger,,,10,5,3,,,,,,,3,7,,,,,False,,4,0.2,0,,,,,,,,,,,,,,,False,,,,,,
228010,7_B_09,241003,8,barrier,,,40,5,2,2,,,,,,,,,,,,False,,,,,,,,,,,,,,2,0,,,100,True,,,,,,
225011,7_B_09,,5,trigger_enrage,,,,3,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,60,1.2,1.2,2,
221058,7_B_10,,1,move_jump,2,8,,2,3,16,,,2,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222108,7_B_10,241012,2,projectile_throw,,,,,2,30,,,,1,9,0.8,7,,0.5,8,1,False,5,,,,,,,,,,,,,,,,,,False,,,,,,
223041,7_B_10,241001,3,area_danger,,,10,5,3,,,,,,,3,8,,,,,False,,4,0.2,0,,,,,,,,,,,,,,,False,,,,,,
228011,7_B_10,241003,8,barrier,,,40,5,2,2,,,,,,,,,,,,False,,,,,,,,,,,,,,2,0,,,100,True,,,,,,
225012,7_B_10,,5,trigger_enrage,,,,3,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,60,1.5,1.5,2,
221059,1_B_01,,1,move_zigzag,2,1.5,,,,,,4,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221060,1_B_02,,1,move_zigzag,2,1.5,,,,,,3,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221061,1_B_03,,1,move_zigzag,2,1.5,,,,,,3,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222109,1_B_03,241008,2,projectile_basic,,,,,1.2,30,,,,0,9,0.5,5,,0.2,3,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221062,1_B_04,,1,move_zigzag,2,2,,,,,,2,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222110,1_B_04,241008,2,projectile_basic,,,,,1.2,30,,,,0,9,0.5,2,,0.2,4,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
221063,1_B_05,,1,move_zigzag,2,2,,,,,,2,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
222111,1_B_05,241008,2,projectile_basic,,,,,1.2,30,,,,0,9,0.5,3,,0.2,5,0,False,,,,,,,,,,,,,,,,,,,False,,,,,,
223042,1_B_05,241001,3,area_danger,,,5,10,3,,,,,,,1,4,,,,,False,,3,0.2,1,,,,,,,,,,,,,,,False,,,,,,
220001,2_A_01,,0,none_hitbox,4,1,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220002,2_A_02,,0,none_hitbox,4,1.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220003,3_A_01,,0,none_hitbox,4,1,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220004,4_A_01,,0,none_hitbox,4,1,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220005,4_A_02,,0,none_hitbox,4,2.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220006,5_A_01,,0,none_hitbox,4,1,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220007,5_A_02,,0,none_hitbox,4,1.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220008,6_A_01,,0,none_hitbox,4,2.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220009,7_A_01,,0,none_hitbox,4,1.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220010,7_A_02,,0,none_hitbox,4,2.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220011,0_SD1_01,,0,none_movespeed,2,2,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220012,0_SD1_02,,0,none_hp,0,300,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220013,0_SD1_03,,0,none_movespeed,2,1.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220014,0_SD2_01,,0,none_hp,0,1,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220015,0_SD2_02,,0,none_hp,0,1.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220016,0_SD2_03,,0,none_hp,0,2,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220017,0_SD2_04,,0,none_hp,0,2.5,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
220018,0_SD2_05,,0,none_hp,0,3,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,,,
